title,genres,Plot
A Little Wisdom,"Documentary,",See the world through the eyes of five-year-old Tibetan novice monk Hopakuli and share in his joys and sorrows as he endures the rigors of monastic life. A Little Wisdom endeavors to tell a story of children who find happiness through a simple life and the power of imagination.
#YellowTheWorld - Everest Edition,"Documentary,","To raise awareness on Usher Syndrome and the limits of visual impairment, Dario Sorgato, founder of NoisyVision, brought the #YellowTheWorld campaign to its highest point. In the documentary Sorgato explains the motivation, preparation and completion of his adventure, trying to share how the sensory limitations can impact his daily life but do not prevent him to live it to the fullest."
Butte Jama,"Drama,",Butte Jama' is nepali short movie directed by Kala Sangroula.
Kuineto,"Drama,",Kuineto is nepali movie directed by Madhab Raj Kharel.
Dui Kadam,"Drama,  Romance,  Action,",Dui Kadam is Nepali movie directed by
Hidda Hiddai,"Comedy,  Romance,  Love Story,","Hiddai Hiddai is a new Nepi movie directed Milan Aale Magar by starring Aakash Shrestha, Rekha Shah, Salon Basnet."
Pratikar,,"Pratikar is a Nepali movie directed Manoj Narayan by starring Biraj Bhatta, Rekha Thapa, Shakti Kapoor, Manoj Narayan, Nandu Srivastav, Mithila Sharma, Shuvechchha Thapa"
Tel Visa,"Comedy,  Drama,  Romance,",Tel Visa is a new Nepali movie directed by Shankar Ghimire starring
Kidnap,"Drama,  Crime,","The movie features child artist, Prabal Shiwakoti in main role. The movie is the story of 5-days in which Prabal tortures the kidnapers. The movie presents the social, economic, educational, political and psychological effects caused by the crime in an entertaining way."
Bhuimanche,"Thriller,",Bhuimanche features Ramesh Budhathoki and Sipora Gurung In lead roles. This Movie is a story of a common man who works at Postmortem and has a very different view to the society. Bhuimanche meaning of the title is the person of The ground or the very common person. This movie is Under banner of Shailee entertainment & movies Pvt.Ltd & Shailee theater.The Movie story also features the Dark side of medical profession.
Samrakshan,"Action,",This movie tells the story of the politics of Nepal how they use their power to control whole nation.
Balidaan (1997),,"Directed by one of the most successful Nepali movie director Tulsi Ghimire, the movie Balidan is one of the successful movies of its time. Balidan means ‘sacrifice’ and the story of the movie is also based on patriotic content. The originality of the story and it being based on the people’s movement for democracy was also one of the many reasons for its success. The story being related to the Nepali society and also a democratic storyline made it different than most of the other Nepali movies, especially of that time, so, the movie was loved by mass as well."
Parcel,"Other,",
Firke,"Comedy,",This movie tells about the changing life of a person when he move towards city and the incident happens around him and he revolves according to the situation.
Notebook,"Drama,  Love Story,","Notebook is a Nepali movie directed by Yogesh Ghimire starring Jiban Luitel, Neeta Dhungana, Sunil Thapa."
Vigilante,"Drama,  Social,  Thriller,","Movie is notable as the first Nepali film to be filmed using 3D Anaglyph stereoscopic 3D effect. Vigilante is a movie about lust, love, friendship,and betrayal where a road trip of 6 people(3 guys and 3 girls ) turns into a mishap as they have to live near the jungle due to some problem with one of the bike. Though there is no effort in bringing out the characters at first, the suspense thriller unfolds the nature of six characters along the movie : A broken heart- Niraj (played by Subash Thapa), a marijuana lover- Sujan (Gajadi) played by A Gurung, a cheap girl Seema (Shikha Shahi) in search of new bf, a serious girl Melina (played by Menuka Pradhan) who gets a picture of what happens with them in near future and a new generation couple (Ashish and Shisti played by Raj Ghimire and Priyanka Karki)."
Om,"Rated X,",
Chapali Height,"Thriller,","Chapali Height is a 2012 Nepali erotic psychological thriller film featuring Amir Gautam, Raj Ghimire and Binita Baral. It was shot in the Chapali Height area in Kathmandu. The movie, directed by Dipendra K Khanal and financed by Arjun Kumar, was shot in 25 days."
The Plan,"Thriller,  Suspance,",
Maina,"Biography,","Based on a true story of a girl, Maina Sunar, who was raped and killed by Nepal Army personnel on February 2004."
Suntali,"Drama,",
D Company,"Crime,",
Yo Saino Mayako,"Love Story,",Yo Saino Mayako’ is a Nepali movie based on love story.
Bijuli Machine,"Comedy,  Drama,  Sci-fi,",A story of two responsible minds and their quest for an alternative source of energy in a country plunged into darkness and turmoil.
Karmanya,"Drama,  Love Story,",Karmanya is a Nepalese movie about a guy with HIV Aids who faces many problems in his life and tries dealing with them.
Kalo Barsha (Black Year),"Drama,",
Rato Tika Nidhar Ma,"Romance,  Social,",
Saanghuro,,The term Saanghuro refers to the poverty. The movie revolves around the characters the newly married couple who struggling to find privacy due to the settlement of the family in a room.
Aarushi,"Romance,  Action,",
Mero Lakshya,"Social,",
Return To Nepal,,"Bruce discovers a land where much has changed, with a Maoist government recently installed, women newly empowered and fresh initiatives to deal with the grinding poverty of the majority of the Nepali people. But it's also a land where, in some of the remotest areas, life is lived much in the way it has for centuries - salt caravans, subsistence farming on steep mountain terraces and off-the-grid villages connected by an ancient network of footpaths. Return to Nepal is a revealing glimpse at a corner of the world we know little about, but whose people have much to offer us: spiritual wisdom, tactics for survival in a tough land and shining examples of interdependence and determination."
Searching for Nepal,"Adventure,  Travel,","Searching For Nepal chronicles the emotional and cultural journey of a former Peace Corps Volunteer as he returns to Nepal, seeking out his adopted family in the aftermath of Nepal’s Maoist civil war. Filmed entirely on location, this exotic, soul-searching adventure explores the universal yearning to go home again. In 1977, American Phil Deutschle – armed with a college degree and youthful optimism – joined the U.S. Peace Corps. After just three months of language lessons, he sets off alone to his post – an isolated village in the Himalayas of Nepal, where he would teach science in the local school – all in the Nepali language. Now 30 years later, Phil returns to Nepal in search of his Nepali host family and the village he once knew. Trekking across the Himalayan foothills Phil seeks the fate of his students and host father and friend Krishna Bhakta Himalaya. The film explores the pivotal issues facing small-scale foreign aid and is an unforgettable journey through the rich culture an"
Niños en la Cumbre,"Sports,","""21 children from Venezuela and Nepal embarked on an unprecedented odyssey: an expedition to one of the most emblematic mountains of the Himalayas – the Imja Tse (Island Peak) at 6,125 m above sea level. They descended from the most remote villages of the Himalayas to reach the coasts of the Caribbean and feel the ocean for the very first time. The traveled from the urban jungles of Venezuela to the frozen valleys of the Himalayas and became mesmerized by one of the most fascinating cultures on earth."
High and Hallowed : Everest 1963,"Adventure,  History,","Proceeds from this film will be donated to local expedition workers' welfare and relief efforts in Nepal. High and Hallowed: Everest 1963 is the deeper story of the greatest Himalayan climb in American mountaineering history. Narrated by best selling author, and Everest veteran, Jon Krakauer, High and Hallowed takes us from the turbulence of America in the early 60's to the solace of the highest mountain on earth where man pits himself against nature. Profiling the bold and visionary efforts of the 1963 American Mount Everest Expedition, the film examines the sheer commitment, step-by-step struggle and lasting impact of the first American ascent of Mt. Everest and the pioneering first ascent of the West Ridge by Tom Hornbein and Willi Unsoeld. Five decades later, a team of elite mountaineers journey back to Everest to attempt the same routes climbed in 1963 and discover if the essence of risk, adventure and the unknown that drew the first Americans to the summit still exists on Everest"
Village and Town Music of Nepal and India,"Musical,","The forested hills and valleys of the eastern Narmada River in Madhya Pradesh, India attracted Rudyard Kipling a century ago, and more recently, for different reasons, ethnomusicologist Roderic C. Knight. Seeking to document the little-known musics of the region, Knight packed a notebook, movie and still cameras, and a tape recorder onto his motorcycle and sought out the musicians in their villages. The results are presented in these scenes: twelve musical performances and numerous scenes from daily life in 1982. At the time, Super 8 sound movie film was the medium of choice; the digital mini-cam was far in the future. These films, converted to video and digitally edited with the able assistance of Elio Trabal (Oberlin College 2004), capture events of two types: rural music that is today as isolated as it was then, and urban festive music that is as vibrant and current today as it was when filmed. Accompanying the DVD is a CD-ROM with a 36-page booklet that may be viewed on screen"
Nepal 2015 | Kathmandu - Pokhara - Nagarkot,"Travel,",After the 2015 Earthquakes We decided travel go to Nepal despite people telling us its not safe to do so. Nepal needs a lot of help in rebuilding the precious timeless historical sites please help the ever so friendly people of Nepal out by donating to a charity of your choice. Nepal is more beautiful than you can imagine and the pictures and videos don't do justice. Please support their tourism industry by visiting this beautiful country. One Love One Nepal.
Stolen Childhoods,"Child Labour,","The first in a trilogy of films about children's human rights, Stolen Childhoods is the first feature documentary on global child labor ever produced. The film features stories of child laborers around the world, told in their own words. Children are shown working in dumps, quarries, brick kilns. The film places these children's stories in the broader context of the worldwide struggle against child labor. Stolen Childhoods provides an understanding of the causes of child labor, what it costs the global community, and what it will take to eliminate it. Shot in eight countries (Brazil, India, Pakistan, Indonesia, Kenya, Mexico, Nepal and the United States), the film includes slave and bonded labor footage never seen before. It has framing interviews with U.S. Senator Tom Harkin (the leading legislative advocate for global action to eliminate child labor) and human rights advocates for children: Pharis Harvey, Inderjit Khurana, Nobel Peace Prize laureates Wangari Maathai and Kailash S"
Himalaya,"Drama,  Adventure,","An aging chief's last stand, lessons for the new, and the education of a young chief-to-be played against harsh Nature in Nepal's Dolpo. When his son dies returning from Tibet's salt lakes, Tinle blames Karma, his son's friend, refuses to give Karma his blessing as the new chief, and organizes a rival caravan to take the salt to lower Nepal to trade for grain. He, a few old men, his son's widow, his grandson, and his second son, a monk, set out on the arduous journey. Fearing storms, Karma has led his caravan out of the village before the auspicious day ordained by the lamas. Tinle's group catches Karma's before the final pass; the two stubborn men lock wills with Tinle's grandson watching."
Even When I Fall,"Human Trafficking,","""The incredible story of Saraswoti and Sheetal, trafficking survivors who reclaim skills that once came at a high cost: they were slaves in Indian circuses, sold as children. Now freed, together they form Nepal's first circus."
The Last Honey Hunter,,Kulung people practice an ancient animistic tradition that is under the threat of modernism: climbing rope ladders up sheer cliffs and the harvesting of a kind of toxic honey by the world's largest honeybee.
Pura vida - The Ridge,"Adventure,",Spanish alpinist Iñaki Ochoa attempts to climb the Annapurna in Nepal but is forced to halt because of dangerous weather conditions.
Hannah: Buddhism's Untold Journey,"History,","Hannah' tells the story of Buddhist pioneer Hannah Nydahl and her life bringing Tibetan Buddhism to the West. From her idealistic roots in 1960's Copenhagen to the hippie trail in Nepal, Hannah and her husband Ole became two of the first Western students of His Holiness the 16th Karmapa - the first consciously reincarnated lama of Tibet in 1110. Hannah went on to become an assistant and translator for some of the most powerful Tibetan lamas and a bridge between Buddhism in the East and the West."
Waiting for Mamu,,"In some parts of the world, children whose parents are sent to prison and who lack other guardians are locked away along with their parents. This eye-opening documentary tells the story of what it means for a child to grow up in prison and what hope exists for a better life. ""Waiting for Mamu"" follows internationally-lauded social worker and 2012 CNN Hero of the Year award-winner Pushpa Basnet, founder of a development center for children who would otherwise grow up behind bars in her native Nepal."
Somewhere Else Tomorrow,"Adventure,","A naive dreamer attempts to circumnavigate the world on his motorcycle, surviving only on the money he makes along the way. Travelling by motorbike, Daniel and Lars set out on an exhilarating journey to circumnavigate the globe. Aiming to finance their trip by working as they go, they want to experience local cultures more immediately than any tourist could. Battling against nature, the road, their bikes and their fears, the journey that unfolds is unusually compelling. This doc offers a narrative that displays the enduring human spirit - and an unusual view of the world."
Sacred,,"Møre than 40 filmmakers travelled the globe to witness religious celebrations and interview people from all sorts of background. At a time when religious hatreds dominate the world's headlines, this film, sweeping in global reach and yet intensely intimate, explores faith as primary human experience: how it is used to navigate the milestones and crises of private life. Sacred was shot by 40 filmmaking teams around the world."
When the Iron Bird Flies,"History,","WHEN THE IRON BIRD FLIES takes us on an up-close and personal journey, exploring the complex interactions between contemporary Tibetan Buddhism and western culture. The film goes in-depth to portray the experiences and insights of both teachers and practitioners in the US and around the world. Along the way, it illuminates the wide ranging dialogs taking place between Buddhist teachings and science, psychology, gender theory and the arts. The film creates a vivid and entertaining portrait of the world of Tibetan Buddhism, as it is manifesting in the West and asks the vital question - 'In these increasingly chaotic modern times, can these age old teachings help us to find genuine happiness and create a saner, more compassionate 21st century world?'"
Bringing Tibet Home,"Drama,  Adventure,","When a Tibetan refugee dies from a terminal illness, his last wish to set foot on his native soil remains unfulfilled - until his son, a New York-based artist, embarks on an unthinkable journey."
Out & Around,"Adventure,","Inspired to seek out stories of hope, a lesbian couple decides to leave behind their successful careers and life in San Francisco to embark on a year-long journey to find the international leaders of the Gay Right's Movement in 15 countries. Their poignant personal story is reflected in the global issues they encounter on their journey."
The Man from Kathmandu,"Drama,  Action,","The Man from Kathmandu is a Nepalese film directed and written by Pema Dhondup. The film is Dhondup's second feature film and features Gulshan Grover, Hameed Sheikh, Jose Manuel, Anna Sharma, Michael Brian, Karma Shakya, Neer Shah, Mithila Sharma."
To Educate a Girl,"News,","What does it take to educate a girl in a world where 72 million children are not in school -- most of them female? Award-Winning Filmmakers Frederick Rendina and Oren Rudavsky set out to find the answer, traveling to two countries emerging from conflict and struggling with poverty, Nepal and Uganda. Framed by the United Nations global initiative to provide equal access to education for girls by 2015, the film takes a ground-up view of that effort through the eyes of girls out of school, starting school or fighting against the odds to stay in school.To Educate a Girl is a compelling look at the lives of young women who are striving to get an education in the face of conflict, poverty and gender bias."
Fairytale of Kathmandu,"LGBT,",Celebrated Irish poet Cathal O' Searcaigh invites his greatest fan Neasa to Nepal. But what Neasa expected to be the trip of a lifetime soon turns into a disquieting and idol-smashing experience.
Everest (1998),"Sport,","The documentary ""Everest"", narrated by Irish actor Liam Neeson, is the dramatic true story of a team of climbers who found hope, strength and triumph in the wake of tragedy. Their successful ascent of Mount Everest just days after fellow mountaineers and friends died there, is a compelling story about the human spirit and a mountain they love, respect and sometimes fear."
The Third Generation,"Documentary,",The Third Generation is a documentary based on a 19-year-old Nepalese boy who leaves his well paid job with the United Nations in order to continue his education in a western country. The documentary was released in Helsinki on 16 July 2009 and was written and directed by young Nepali filmmaker Manoj Bhusal.
Drawing the Tiger,"Drama,  Documentary,","Filmed over seven years, Drawing The Tiger is a intimate portrait of a family in rural Nepal who get a chance to break their cycle of poverty: Their brightest child is awarded a scholarship to attend school in the city. When she doesn't return home, the family is forced to survive without her or the opportunity they believed would change their fate."
Kathmandu Lullaby,"Drama,  Romance,","Katmandú, un espejo en el cielo, An idealistic young teacher heads to a poverty-stricken area of the Himalayas to change the world in ""Kathmandu Lullaby,"" a film that shares its protag's good intentions but ticks off too many predictable boxes."
Final Destination,,
Secrets of Dhaulagiri,"Documentary,","This is a widely appreciated documentary form Nepal, already presented in several international film festivals. It explores the life obscured by innumerable ups and downs while living in the high Himalayas."
A Soltini,"Drama,",Triangle Love Story.
Journey of a Red Fridge,"Documentary,","Journey of a Red Fridge is a 2007 documentary film directed by Natasa Urban and Lucian Muntean, a Serbian independent documentary production duo specializing in telling the stories of working children.
This is a story of a 17-year-old Hari Prasad Rai who trudges up a mountain footpath. Across his back and hung by a strap over his forehead is a red Coca-Cola refrigerator.
about 17-year-old porter Hari Rai working in the Himalayan Mountains of Nepal."
Langtang: Summits of My Life ],"Adventure,  Documentary,  Sports,","Langtang is an ode to life, a tribute to hope and a search for new horizons."
Ranveer,"Comedy,  Drama,  Action,","Ranveer (Sushil Sitaula) is a young, energetic and straightforward guy from Dhangadhi and is in love with Maya (Supushpa Bhatta). He faces emotional breakdown after a life changing incident and he moves to Kathmandu. In Kathmandu, he meets Priya (Subeksha Khadka), daughter of a powerful man. Ranveer and Priya fall in love. Meanwhile, Ranveer finds out culprits of 'life changing incident' and he embarks on a journey of revenge."
Raharai Rittiyo,"Drama,  Musical,",Raharai Rittiyo is Nepali musical short movie. This movie is directed and written by Shankar Adhikari
EOG (Errors of God),"Drama,  Social,  Religion,  Belief,","EOG (Errors of God) is new nepali movie direcetd by Praku Pandey, is releasing soon."
Jwai Saab,"Comedy,  Drama,  Social,","Jwai Saab is new Nepali movie directed by Basanta Niraula starring Jitu Nepal, Niti Shah, Buddhi Tamang, Himesh Panta, Ramesh Budhathoki, Nima Pandey."
Chhakka Panja 5,"Comedy,  Romance,  Social,  Action,","Chhakka Panja 5 is nepali movie directed by Deepa Shree Niroula starring Deepak Raj Giri (as Raja), Kedar Prasad Ghimire (as Magne Buda), Barsha Siwakoti, Rajaram Poudel, Ramesh Budhathoki, Prakash Ghimire, Narendra Thapa, Uttam KC, Brajesh Khanal"
Man Sanga Man,"Drama,  Romance,","Man Sanga Man is a new Nepali movied directed by Kailash Rai starring Puspa Khadka, Barsa Shiwakoti, Buddhi Tamang, Paul Shah, Pooja Sharma, Mahendra Bagdas, Chadni Pradhan, Shante Da"
Ma,"Thriller,","Ma in a New Nepali movie directed by Subarna Thapa starring Geet Bista, Supragya Sharma, Suraj Bista, Subash Poudel, Bimal Puri, Ajit Regmi, Samrat Chhetri, James Adhikari, Bibek Kunwar & Amod Bhatt."
Major Pension (Part 1),"Drama,","Major Pension is a Nepali movie directed by Gorey Gurung starring Ranjita Gurung, Buddhi Bahadur Aale."
Major Pension (Part 2),"Drama,","Major Pension (Part 2) is a Nepali movie directed by Gorey Gurung starring Ranjita Gurung, Buddhi Bahadur Aale."
Bar & Badhu,"Comedy,  Romance,  Love Story,","Bar & Badhu is new Nepali movie directed Milan Chams by strarring Bibek Karmacharya, Aanchal Sharma, Vijay Lama, Garima Sharma, Viju Parki, Kiran KC, Sarita Lamichhane, Kushum Sharma, Shristi Khadka, Himesh Pant."
Missing: Keti Haraeko Suchana,"Romance,  Thriller,  Suspance,","Missing: Keti Haraeko Suchana is a new Nepali movie directed by Deependra Gauchan starring Shristi Shrestha, Najir Husen, Dura Sanjay Gupta, Ram Narayan Thakur."
Jaar,,"Jaar is a new Nepali movie directed by  Phurba Tshering Lama starring Geetanjali Thapa, Saugat Malla and Anoop Bikram Shahi.
In Nepalese society, 'Jaar' refers to a man involved in an extramarital relationship with another man's wife. During the reign of Jung Bahadur Rana, the aggrieved husband had the legal right to execute the 'Jaar'. In Jaar, Rudraman's return unsettles Thuli's once stable life, forcing him to choose between ignominy and a perilous defense at a village council. Cast out by society, Rudraman and Thuli embark on a dangerous journey, severed from the security of family and tradition."
Agnidahan,"Drama,  Thriller,  Horror,","Agnidahan is a Nepali movie directed by Ghanashyam Lamichhane starring Prakash Ghimire, Maotse Gurung, Pramila Tulachan, Anupama Bhandari, Tulasi Chhetri."
Satya,"Drama,  Romance,  Action,  Love Story,","Satya is a new Nepali movie directed Milan Ale Magar by starring Raj Kalakheti, Priya Sharma, Karan Singh Bohora, Bikash Thapa Magar, Barsha thing,Suman Khatri."
Ko Afno,"Drama,  Thriller,","This is a deeply involving drama depicting the desperation between a poor rural couple and a childless upper class urban couple, whose lives are forever altered when the rich couple buys the ingenuous poor couple's 3-year old son, on the promise of a better life. Son grows up emotionally disturbed and resorts to extreme measures to feel less alone."
Sherbahadur,"Drama,  Thriller,","""Dhiraaj Production"" Presents, New Nepali Movie Song ""Kanchhi Matyang Tyang"" of movie ""SHERBAHADUR"" is featuring ""Sunil Thapa"" ""Karma"" ""Menuka Pradhan"" ""Rabindra Jha"". Nepali Movie ""Sherbahadur"" is dop by ""Gauri Shanker Dhunju"" and directed by ""R. Rajbanshi""."
A Mero Hajur,"Drama,  Love Story,",
Acharya,"Drama,  Musical,  Biography,","A journey of a singer (Bhakta Raj Acharya) who grew up in an extreme poverty without father. his chances of achieving his dream of becoming a singer was slim to none, under the circumstances he was in. But, he over came all the obstacles and became one of the greatest singers of Nepal, just find his destiny waiting for him with a different plan. Because of fast spreading tumor in his tongue, he had to choose between his tongue and his life. Bhakta's tragic musical journey is picked up by his two sons from the point where he left off. He still lives in Kathmandu with his wife, sons, daughter in law and grand child."
Gore,"Romance,  Social,  Action,","गोरे’ एक्शन, रोमान्टिक एवं समसामयिक विषयवस्तुमा आधारित मनोरञ्जनात्मक चलचित्र भएकोले व्यवसायिक रुपले पनि सफलता पाउने विश्वास निर्माणपक्षले लिएका छन्।"
Na Yeta Na Uta,"Comedy,  Drama,","When mid-life crises hits! Story of two friends in their 40's living in London, after being fired from lifelong job, decide to come back to Nepal and start a new life. Their adventure starts as soon as they arrive in Kathmandu and continues throughout their stay in Nepal. In search of love and life, these two meet different and interesting characters along the way, not all of whom are there to help them."
Ray,"Drama,  Action,  Love Story,",Ray is Nepalese love story and action movie directed by Dinesh Poudel and produced by Rajendra Tripathi.
Cops,"Action,","Cops is film related to current situation of Nepal, DSP Aman arrives as a clever and diplomatic cop who thrives to clean the mess in the capital that has been created by criminals. In the aid of political protection, the criminals have high courage to run their activities. Aman Singh tactfully handles political pressure, nullifies criminals and restores peace in the city. And, journalist Chanda also perform her duty to destroy the criminal very well."
Maya Pirima,"Comedy,  Romance,","Maya Pirima is a love story starring Salon Basnet, Anjali Adhikaria and Koshish Chhetri, directed by Tek Paurakhi Rai."
Prem Sansar,,
Given,"Adventure,  Family,","Given is the simple yet powerfully contemplative story of a unique family legacy come full circle. Told through the visceral experience of a 6 yr. old, Given follows legendary surfers Aamion and Daize Goodwin from their island home of Kauai through 15 different countries in the quest for surf and to fulfill a calling handed down through generations."
Waste Mandala,"Environmental,",Waste Mandala is an inspired by plastic documentary that tells the story of this unique experience of changing. An increasing group of eco tourists and volunteers started to collect the garbage left behind by people and tourists from the Himalayan peaks in Nepal. They are called Green Soldiers and cleaning is their way to fight. They are planning to build a large and colorful mandala made of waste.
Bho Maya Laudina,"Romance,  Social,","Bho Maya Laudin is a family-based film based on social media. Maya is done by people, whereas in Bho Maya Laudin is different from some other Nepalese story. This film features new face characters under the age of 19. Feeling love is much different than it is now. This movie has a message that in this sense, money is causing the family to be weary. What a love it is to live in that lethal family. This is a message that is reflected in the film and the message that we should dare to visit our family all year long."
Dipendra Sarkar,"Romance,  Biography,",The movie revolves around a forbidden love story or a concealed Massacre Mystery.
The Red Suitcase,"Drama,  Thriller,  Mystery,  Horror,","A pick-up truck driver leaves Kathmandu airport for a two-day drive with a delivery to a remote mountain village. On the high road, a solitary figure slowly makes his way, wheeling a small red suitcase toward the same village."
Machha Machha,"Comedy,  Drama,","Loot fame Saugat Malla starrer new Nepali film MACHHA MACHHA’s poster is released. Sunil Gurung directorial film stars Bijay Baral, Anoj Pande along with Saugat Malla. Film is written by director himself. Ram Babu Gurung and Dayahang Rai are the producers of the film. This film is presented by Cinema Arts and Naumati Entertainment."
12 Sattais,"Comedy,  Drama,","12 SATTAIS is an comdey, drama Nepali movie starring Samir Shrestha, Abhishek Nepal, Kaji Rana and Aasmita Lamichhane. It is directed by Zohn Yonzon."
Matti Mala,,Matti Mala is a Nepali movie directed by Tek raj Langhali.
Happy Days,"Drama,  Romance,","The film falls in the romance genre and has been filmed in various locations from London, Reading, Wales and Edinburgh. Don’t be surprised if you see many familiar towns in the film."
Kale Dai,,
Sadhe Saat,"Drama,  Action,",The story revolves around the 2072 blockade where an accomplished photo-journalist representing a big media house in the country has been entrusted with the responsibility of covering the stories in the far flung war torn parts of the Terai. He is befriended by a taxi driver who introduces him to a prostitute. What enfolds is a gripping story between these characters and what conspires in the next 39 hours.
Prem Leela,"Romance,  Action,  Adventure,",A soft romantic love story between an Indian boy and a Nepali girl.
Blind Rocks,"Romance,  Biography,",Shristi was studying in grade 8 when she lost her sight due to carelessness hospital and doctor. After the incident she and her family became hopeless but she didn't give up.
Who Will Be a Gurkha,,This documentary shows the 200 years old selection process of Nepalese youth into British Gurkha. It has been screened at many national and international film festivals and has won numerous jury and viewers awards. It is directed by Kesang Tseten.
Jump,"Thriller,","Jump is a Nepali psychological thriller movie. This movie is about a national athlete who finds supernatural means to alter his timeline. As the demons of his past resurface in inexplicable ways, the film plunges into a thrilling exploration of twists and webs of corruption."
Hero Returns,"Action,","Talking in the press meet, Rekha Thapa told that she was impressed by the story and couldn’t say no to the role. She told, she will be featured in an action role int he movie. The movie will be made on an action-comedy story written by Shivam Adhikari. The cinematographer of the movie is Madan Kshyap Ghimire, music by Deepak Sharma and Tanaka Budhathoki, choreography by Kabiraj Gahatraj and action by Chandra Panta."
Hello Jindagi,"Drama,  Romance,  Action,","Hello Jindagi is nepali movie, inspired by true story. This movie is directed by Everest Surya Bohara."
America Boys,"Comedy,","Three unemployed youngsters Micheal ,Hero and Ananda lie to their parents about going abroad and get money to break their monotonous life in Kathmandu."
Kagaz Patra,"Comedy,  Drama,  Romance,","Bunu, a modern village girl, born in lower middle-class family, who is a Nursing graduate. She wants to go abroad for further study, preferably Australia, to seek a better future. Her parents who have already spent the better part of their fortune to educate her with a Nursing Degree cannot afford for her further studies abroad. She teams up with her sister Devi who’s having nightmare about future of her family. They struggle to find the way Bunu can go on for further studies and uplift Devi’s family status."
Chiso Ashtray,"Drama,  Action,","Chiso Ashtray is a Nepalese movie directed by Dinesh Palpali. Starring Shristi Shrestha, Robin Tamang, Divya Dev, Nikun Shrestha, Nabin Lamsal, and Sushil Raj Pandey, the film is based on Bhupi Sherchan's poem ""Chiso Ashtray"". The film was released on 18 March 2022. This postmodern drama film is about an innocent village guy freshly arrived in the capital city. His transformation from villager to urban man becomes increasingly difficult because trying to be modern takes him away from who he truly is. In the end, he finds his own modernity and his place in the city."
Naakaa,"Drama,  Crime,",A small-time smuggler needing a big payday gets hired by a businessman to rescue a Tibetan girl and her handler from a sub-border point.
Shree,"Drama,",Shree is a nepali movie directed by Surya Bohara.
Baadhshah Jutt,"Drama,  Romance,","""Baadshah Jutt"" is a action comedy movie which depicts a courageous journey of two normal people ""a policeman"" and ""a journalist"" who are highly ambitious and want to be Baadshah in real life. This story shows how they overcome all the obstacles in their way and earned the appreciation as real Baadshah from everyone."
Bobby,"Drama,","Bobby' is a complete romantic Nepali family drama based on a real incident and revolves around a deeply-in-love couple and shows their love relationship, struggle and achievement. What's interesting about this project is that the movie will feature the same couple in lead on whom the film is being made. This is the first time in Nepali film industry's history that the real life characters are being shown as reel life couple, too."
Nepte,"Comedy,  Romance,  Social,","The film is slated to present actor Dayahang Rai as an antagonist for the first time. The film will centre on a rift between Dayahang and actors Rohit and Buddhi, producers said."
Sano Mann,"Love Story,","Sano Mann is a love story featuring Shilpa Maskey and Ayushman DS Joshi in lead roles, directed by Suyog Gurung."
Gurkha: Beneath the Bravery,"Drama,  Action,  Adventure,  War,","GURKHA: Beneath The Bravery, Nepali movie, is a psychological war drama inspired by true events of Rifleman Kulbir Thapa, an inexperienced soldier goes through an incredible journey that eventually cements his name among the legendary Gurkha warriors.
This is a non-profit movie and a tribute to the legacy of Gurkhas."
Chi Musi Chi,"Drama,  Romance,","Chi Musi Chi is a romantic drama directed by Dinesh Shrestha, starring Kamali Waiwa,Sunil Chhetri and Alisha Sharma."
Jai Bhole,"Comedy,","Jai Bhole is a story of Friendship, Love and Sentiments."
The Return Hero,"Drama,",The return Hero is a nepali movie directed by Rajbahadur Saane.
Gurkha Warrior,"Action,  History,  War,",Gurkha Warrior is a Nepali movie based on a real story which is directed by Milan Chams. The movie  Troops trapped behind enemy lines must be rescued by their comrades during the British 'Malayan Emergency'.
Timi Sanga,"Romance,","A story of a journey where three different characters from different parts of the country and world are destined to travel together. This is a story about their journey, friendship ,love, and sacrifice."
Poi Paryo Kale,"Comedy,  Romance,","‘Poi Paryo Kale’ attempts to show that skin colour doesn’t matter, but then puts all of its fair-skinned actors in makeup to make them look darker."
Iti,,Iti' is a nepali short movie directed by Nawal Nepal.
Hajar Juni Samma,"Drama,  Love Story,","Hajar Juni Samma is a Nepalese movie about a man and his journey of searching for the lost love. His journey will take you from the city of lakes to the traveler's paradise. Fighting the obstacles , will he finally end his search or his search will end his spirit."
Chiso Manchhe,"Drama,  Social,","When a Nepalese worker dies in Qatar, his wife Puspa (Swastima Khadka) and father (Desh Bhakta Khanal) travel to Kathmandu to retrieve his body. They meet a driver, Ram (Arpan Thapa) who offers to take them back to their hometown. The plot revolves around Puspa, who has spent her entire life in rural Nepal. Her journey from the city back home is the subject of the narrative."
Nai Nabhannu La 3,,"The third sequel of the popular Nai Nabhannu La franchise, ‘Nai Nabhannu La 3’ was also a superhit films like it’s predecessors ‘Nai Nabhannu La 2’ and ‘Nai Nabhannu La’. In this movie the direcotor Muskan Dhakal has debuted as a full director. In previous movies, Muskan used to work as assistant to Bikash Acharya. During the shooting of this movie Bikash was mourning and didn’t want to direct the movie. Bikash has directed the next in the sequel ‘Nai Nabhannu La 4’. The movie in in it’s post production phase now."
Mansaraa,"Drama,",Mansaraa is Nepali short movie directed by
Neerphool,,"‘Neerphool’ that deals with the tragedy of a family, where the family members get separated aftermath of the devastating earthquake; and their psychological turmoil during that time."
